frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,0,0,-0.225496,0,0,0,1.299622,-0.9524222,0.2367164,-0.1919825,1,0.5,0,0,-0.5,0.225496,0,0,0,1.218837,-0.9971857,-0.04305236,0.06137637,1,1,1,0,-0.5,-0.225496,0,0,0,1.25004,-0.9794063,-0.04228475,-0.1974218,1,1,0,0,0,0.225496,0,0,0,1.269294,-0.968748,0.240774,0.05962604,1,0.5,1,0,0.5,-0.225496,0,0,0,1.478545,-0.8662933,0.4680207,-0.1746213,0,0,0,0,0.5,0.225496,0,0,0,1.451,-0.8785238,0.4746284,0.05407278,0,0,1
1,0,2.594733E-05,-0.22544,0,0,0,1.284385,-0.9515882,0.2387522,-0.1935904,1,0.5,0,0,-0.4999241,0.2255979,0,0,0,1.202886,-0.9971309,-0.04341106,0.06201115,1,1,1,0,-0.5000573,-0.2254574,0,0,0,1.234367,-0.9790315,-0.04269993,-0.1991835,1,1,0,0,7.997928E-05,0.2255804,0,0,0,1.253823,-0.9681706,0.2429435,0.06020016,1,0.5,1,0,0.5,-0.225496,0,0,0,1.4647,-0.8642539,0.4713187,-0.1758517,0,0,0,0,0.5,0.225496,0,0,0,1.436959,-0.876632,0.478069,0.05446476,0,0,1
2,0,0.0001606804,-0.2255886,0,0,0,1.239704,-0.9489641,0.2449617,-0.198648,1,0.5,0,0,-0.4999578,0.2254677,0,0,0,1.155934,-0.9969698,-0.04466227,0.06369079,1,1,1,0,-0.4999399,-0.225502,0,0,0,1.188302,-0.9778561,-0.04379544,-0.2046447,1,1,0,0,0.0001409403,0.2254117,0,0,0,1.208283,-0.9664182,0.2494557,0.0617062,1,0.5,1,0,0.5,-0.225496,0,0,0,1.424154,-0.857996,0.4812505,-0.1795574,0,0,0,0,0.5,0.225496,0,0,0,1.395819,-0.8708195,0.4884433,0.05564666,0,0,1
3,0,0.0001664492,-0.2255692,0,0.001861001,-0.00536442,1.196908,-0.9462851,0.2511429,-0.2036464,1,0.5,0,0,-0.4999444,0.225389,0,0.003761054,-0.009091202,1.110911,-0.9968014,-0.04590224,0.06542195,1,1,1,0,-0.4999138,-0.2255608,0,0.00255853,-0.00491813,1.144183,-0.9766304,-0.04495474,-0.2101718,1,1,0,0,4.746331E-05,0.225388,0,-0.0006920732,-0.008790199,1.164657,-0.9646181,0.255937,0.0633091,1,0.5,1,0,0.5,-0.225496,0,0,0,1.385552,-0.8516122,0.491103,-0.1832334,0,0,0,0,0.5,0.225496,0,0,0,1.356628,-0.8648792,0.4987537,0.05682129,0,0,1
4,0,1.122856E-05,-0.2253688,0,-0.000358707,0.005821141,1.163133,-0.9440678,0.2561499,-0.2076616,1,0.5,0,0,-0.5000323,0.2256151,0,-0.0004321338,0.006981197,1.075398,-0.996643,-0.04699275,0.06704023,1,1,1,0,-0.5000977,-0.2253963,0,-0.002288819,0.007172677,1.109358,-0.9756123,-0.04604176,-0.2146174,1,1,0,0,4.650342E-05,0.22557,0,0.001018542,0.00108853,1.130308,-0.9630753,0.2613288,0.06475462,1,0.5,1,0,0.5,-0.225496,0,0,0,1.355287,-0.8462896,0.4991143,-0.1862224,0,0,0,0,0.5,0.225496,0,0,0,1.325883,-0.8599179,0.5071518,0.05777806,0,0,1
5,0,3.895239E-05,-0.2255027,0,0.001386192,-0.006696585,1.142671,-0.9426001,0.2593575,-0.2103298,1,0.5,0,0,-0.5000437,0.2254063,0,-0.0005722048,-0.01043976,1.053731,-0.9965574,-0.04765546,0.06784076,1,1,1,0,-0.5000003,-0.2256047,0,0.004869701,-0.01041815,1.088208,-0.9749238,-0.04659358,-0.2176067,1,1,0,0,4.306708E-05,0.2254167,0,-0.0001718167,-0.007665906,1.109382,-0.9620969,0.2647246,0.06550132,1,0.5,1,0,0.5,-0.225496,0,0,0,1.336935,-0.842916,0.5041006,-0.1880829,0,0,0,0,0.5,0.225496,0,0,0,1.307233,-0.8567693,0.5123855,0.05837432,0,0,1
6,0,0.0001301752,-0.2255354,0,0.004561141,-0.001633913,1.115119,-0.9405423,0.2638382,-0.213938,1,0.5,0,0,-0.5001121,0.225402,0,-0.003418328,-0.0002115966,1.024543,-0.9964221,-0.04861269,0.06913683,1,1,1,0,-0.4999335,-0.225629,0,0.003342332,-0.0012137,1.059665,-0.9739837,-0.04740343,-0.2216047,1,1,0,0,-7.151302E-06,0.2254789,0,-0.00251092,0.003111364,1.08121,-0.9607126,0.2694095,0.06670773,1,0.5,1,0,0.5,-0.225496,0,0,0,1.312311,-0.8382049,0.5109498,-0.1906383,0,0,0,0,0.5,0.225496,0,0,0,1.282199,-0.8523672,0.5195828,0.05919429,0,0,1
7,0,1.556127E-05,-0.2255331,0,0,0,1.090301,-0.9386319,0.2678836,-0.2172753,1,0.5,0,0,-0.5000256,0.2254481,0,0,0,0.9982569,-0.9962958,-0.04940784,0.07038051,1,1,1,0,-0.500057,-0.2256005,0,0,0,1.033981,-0.9730935,-0.04827763,-0.2252965,1,1,0,0,4.493714E-05,0.2255452,0,0,0,1.055901,-0.9593842,0.2738252,0.0678354,1,0.5,1,0,0.5,-0.225496,0,0,0,1.290256,-0.8337952,0.5172443,-0.1929869,0,0,0,0,0.5,0.225496,0,0,0,1.259767,-0.8482413,0.526206,0.05994884,0,0,1
8,0,-3.374985E-05,-0.2256075,0,-0.002465557,-0.003719331,1.056913,-0.9358785,0.2735968,-0.2219826,1,0.5,0,0,-0.4999774,0.2255087,0,0.002412499,0.003028662,0.962768,-0.9961122,-0.05057356,0.07212946,1,1,1,0,-0.5000405,-0.2254697,0,0.0008255247,0.006540868,0.9993054,-0.9718375,-0.04938318,-0.2304198,1,1,0,0,1.825013E-05,0.2254344,0,-0.001334351,-0.005540999,1.02174,-0.9575098,0.2799546,0.06928539,1,0.5,1,0,0.5,-0.225496,0,0,0,1.260661,-0.8275759,0.5259387,-0.1962308,0,0,0,0,0.5,0.225496,0,0,0,1.22965,-0.8424136,0.5353683,0.06099267,0,0,1
9,0,2.228992E-05,-0.2255022,0,0,0,1.031917,-0.9336998,0.2780975,-0.2255359,1,0.5,0,0,-0.5000036,0.2254087,0,0,0,0.9361372,-0.9959707,-0.0515296,0.07339739,1,1,1,0,-0.5000868,-0.2255397,0,0,0,0.9733598,-0.9708087,-0.05028424,-0.234525,1,1,0,0,9.068934E-05,0.2255002,0,0,0,0.9961905,-0.9559949,0.2847837,0.07051254,1,0.5,1,0,0.5,-0.225496,0,0,0,1.238605,-0.8227003,0.532611,-0.1987203,0,0,0,0,0.5,0.225496,0,0,0,1.207193,-0.8378376,0.5424109,0.061795,0,0,1
