frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,0,0,-0.225496,0,0,0,0.54967,-0.9136205,0.4058419,-0.02428953,0.2,0.5,0,0,-0.5,0.225496,0,0,0,0.5517622,-0.9118031,-0.07035811,0.4045553,0.2,1,1,0,-0.5,-0.225496,0,0,0,0.4621887,-0.996686,-0.07690799,-0.02649791,0.2,1,0,0,0,0.225496,0,0,0,0.6323444,-0.8469155,0.3762106,0.3757655,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.8333443,-0.7192441,0.6944942,-0.01912184,0,0,0,0,0.5,0.225496,0,0,0,0.8993584,-0.6853141,0.6617318,0.304065,0,0,1
1,0,0,-0.225496,0,0,0,0.5350724,-0.9110473,0.4115654,-0.02463208,0.2,0.5,0,0,-0.5,0.225496,0,0,0,0.5371943,-0.9091836,-0.07134633,0.4102375,0.2,1,1,0,-0.5,-0.225496,0,0,0,0.4462426,-0.9965732,-0.07820404,-0.02694445,0.2,1,0,0,0,0.225496,0,0,0,0.6188262,-0.8428476,0.3807562,0.3803057,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.8218832,-0.7133762,0.7005157,-0.01928763,0,0,0,0,0.5,0.225496,0,0,0,0.8884423,-0.6791784,0.6669344,0.3064556,0,0,1
2,0,2.594733E-05,-0.22544,0,0.001297367,0.002802165,0.5205265,-0.9083547,0.417457,-0.02492826,0.2,0.5,0,0,-0.4999241,0.2255979,0,0.003796817,0.005094709,0.5227059,-0.906419,-0.07228282,0.4161489,0.2,1,1,0,-0.5000573,-0.2254574,0,-0.002866985,0.001931936,0.4303019,-0.9964508,-0.07960571,-0.02736461,0.2,1,0,0,7.997928E-05,0.2255804,0,0.003998966,0.004221501,0.6054374,-0.8385821,0.3854402,0.3849883,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.8105171,-0.7073544,0.7065913,-0.01945491,0,0,0,0,0.5,0.225496,0,0,0,0.8776255,-0.672897,0.6721711,0.3088619,0,0,1
3,0,2.594733E-05,-0.22544,0,0,0,0.5205265,-0.9083547,0.417457,-0.02492826,0.2,0.5,0,0,-0.4999241,0.2255979,0,0,0,0.5227059,-0.906419,-0.07228282,0.4161489,0.2,1,1,0,-0.5000573,-0.2254574,0,0,0,0.4303019,-0.9964508,-0.07960571,-0.02736461,0.2,1,0,0,7.997928E-05,0.2255804,0,0,0,0.6054374,-0.8385821,0.3854402,0.3849883,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.8105171,-0.7073544,0.7065913,-0.01945491,0,0,0,0,0.5,0.225496,0,0,0,0.8776255,-0.672897,0.6721711,0.3088619,0,0,1
4,0,0.0001606804,-0.2255886,0,0.006736655,-0.007432702,0.4803984,-0.9002061,0.4346811,-0.02610021,0.2,0.5,0,0,-0.4999578,0.2254677,0,-0.001685322,-0.00650734,0.4825506,-0.8982342,-0.0752712,0.4330237,0.2,1,1,0,-0.4999399,-0.225502,0,0.00587106,-0.00223443,0.3860196,-0.9960961,-0.08345179,-0.0287827,0.2,1,0,0,0.0001409403,0.2254117,0,0.00304805,-0.008437786,0.5684028,-0.8260561,0.398858,0.3981754,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.7794683,-0.689787,0.7237381,-0.01992702,0,0,0,0,0.5,0.225496,0,0,0,0.8481232,-0.6546587,0.6868808,0.315621,0,0,1
5,0,2.028076E-05,-0.2254702,0,-0.007019984,0.005919489,0.4700112,-0.8980099,0.4391911,-0.02625765,0.2,0.5,0,0,-0.500036,0.2255977,0,-0.003911556,0.006496164,0.4723139,-0.8958831,-0.07614414,0.4377163,0.2,1,1,0,-0.500055,-0.2253495,0,-0.005751851,0.007624927,0.3745893,-0.9959871,-0.08467398,-0.02898451,0.2,1,0,0,2.994467E-05,0.2254332,0,-0.005549782,0.001075119,0.5589025,-0.822625,0.4023316,0.401768,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.771576,-0.6850393,0.7282301,-0.0200507,0,0,0,0,0.5,0.225496,0,0,0,0.8406352,-0.6497514,0.6907173,0.3173839,0,0,1
6,0,0.0001292292,-0.2254619,0,0.005447425,0.0004172327,0.4526178,-0.8939723,0.4473245,-0.02672832,0.2,0.5,0,0,-0.5000197,0.2255708,0,0.000816584,-0.00134334,0.4549009,-0.8918349,-0.07751556,0.4456701,0.2,1,1,0,-0.499965,-0.2254625,0,0.004498662,-0.005645307,0.355199,-0.9958078,-0.08648862,-0.02977371,0.2,1,0,0,6.130477E-05,0.2255638,0,0.001568006,0.006529692,0.5430144,-0.8164929,0.4084903,0.4080133,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.7583212,-0.6767858,0.7359012,-0.02026191,0,0,0,0,0.5,0.225496,0,0,0,0.8280697,-0.6412418,0.6972526,0.3203868,0,0,1
7,0,0.0001664492,-0.2255692,0,0.001861001,-0.00536442,0.4343679,-0.8895071,0.4561013,-0.02736519,0.2,0.5,0,0,-0.4999444,0.225389,0,0.003761054,-0.009091202,0.4365871,-0.8873994,-0.07895096,0.4541905,0.2,1,1,0,-0.4999138,-0.2255608,0,0.00255853,-0.00491813,0.3347984,-0.9956018,-0.08854091,-0.03061914,0.2,1,0,0,4.746331E-05,0.225388,0,-0.0006920732,-0.008790199,0.5262764,-0.809847,0.4151391,0.4144965,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.7445472,-0.6678146,0.7440457,-0.02048616,0,0,0,0,0.5,0.225496,0,0,0,0.8150265,-0.6320229,0.7041683,0.3235646,0,0,1
8,0,1.84027E-05,-0.2254852,0,-0.007402329,0.004199149,0.4206678,-0.8860682,0.4627276,-0.02768118,0.2,0.5,0,0,-0.5000237,0.2254754,0,-0.00396073,0.004323574,0.4230368,-0.8837942,-0.08019579,0.4609518,0.2,1,1,0,-0.5000519,-0.2255398,0,-0.006905201,0.001052022,0.3195267,-0.9954215,-0.09035937,-0.03116405,0.2,1,0,0,2.613258E-05,0.2255482,0,-0.001066537,0.008013102,0.5139416,-0.8045576,0.4201683,0.419697,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.7343476,-0.6608953,0.7501939,-0.02065544,0,0,0,0,0.5,0.225496,0,0,0,0.8053777,-0.6249337,0.7093732,0.3259562,0,0,1
9,0,1.122856E-05,-0.2253688,0,-0.000358707,0.005821141,0.4091511,-0.8829795,0.4685813,-0.02790378,0.2,0.5,0,0,-0.5000323,0.2256151,0,-0.0004321338,0.006981197,0.4116225,-0.8805858,-0.08120939,0.4668765,0.2,1,1,0,-0.5000977,-0.2253963,0,-0.002288819,0.007172677,0.3065742,-0.9952733,-0.09186717,-0.03148665,0.2,1,0,0,4.650342E-05,0.22557,0,0.001018542,0.00108853,0.5035198,-0.7999462,0.4245522,0.4240774,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.7257864,-0.6548953,0.7554334,-0.0207997,0,0,0,0,0.5,0.225496,0,0,0,0.7972853,-0.6188012,0.7137983,0.3279895,0,0,1
10,0,3.787888E-05,-0.2256006,0,0.001332516,-0.01159385,0.3951737,-0.8790194,0.4759276,-0.0285985,0.2,0.5,0,0,-0.4999995,0.2253644,0,0.001639128,-0.01253188,0.3975428,-0.8766991,-0.08244679,0.473921,0.2,1,1,0,-0.5000331,-0.2256361,0,0.003227593,-0.01199022,0.2907657,-0.9950798,-0.0936221,-0.03241936,0.2,1,0,0,4.638516E-05,0.2254469,0,-5.912809E-06,-0.006154182,0.4908041,-0.7941782,0.4300006,0.4293956,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.7154416,-0.6473985,0.761863,-0.02097673,0,0,0,0,0.5,0.225496,0,0,0,0.787515,-0.6111579,0.7192149,0.3304785,0,0,1
11,0,3.895239E-05,-0.2255027,0,5.367585E-05,0.004897268,0.3826842,-0.8753296,0.4826629,-0.02889219,0.2,0.5,0,0,-0.5000437,0.2254063,0,-0.002211333,0.002092124,0.3851129,-0.8729277,-0.08365458,0.4806237,0.2,1,1,0,-0.5000003,-0.2256047,0,0.001642109,0.001572073,0.2765974,-0.9949036,-0.09528784,-0.03297034,0.2,1,0,0,4.306708E-05,0.2254167,0,-0.0001659039,-0.001511723,0.4795223,-0.7887923,0.4349498,0.4343103,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.7062744,-0.6405172,0.7676529,-0.02113615,0,0,0,0,0.5,0.225496,0,0,0,0.7788646,-0.6041605,0.7240798,0.3327139,0,0,1
12,0,5.54078E-05,-0.2254892,0,0.0008227705,0.0006727877,0.3659156,-0.8700811,0.4920288,-0.02943616,0.2,0.5,0,0,-0.5000315,0.2255987,0,0.0006139281,0.009620193,0.3684767,-0.8675153,-0.0852429,0.4900519,0.2,1,1,0,-0.4999067,-0.2254072,0,0.004678966,0.009873513,0.2574593,-0.9946631,-0.09757186,-0.03354267,0.2,1,0,0,-2.897895E-05,0.2254358,0,-0.003602303,0.0009559098,0.4644086,-0.7812216,0.4416915,0.4411364,0.2,0.5,1,0,0.5,-0.225496,0,0,0,0.6940532,-0.6309743,0.7755098,-0.02135248,0,0,0,0,0.5,0.225496,0,0,0,0.7673436,-0.594485,0.7306621,0.3357385,0,0,1
