frame,x0,y0,z0,vx0,vy0,vz0, sdf0, nx0, ny0, nz0,x1,y1,z1,vx1,vy1,vz1, sdf1, nx1, ny1, nz1,x2,y2,z2,vx2,vy2,vz2, sdf2, nx2, ny2, nz2,x3,y3,z3,vx3,vy3,vz3, sdf3, nx3, ny3, nz3,x4,y4,z4,vx4,vy4,vz4, sdf4, nx4, ny4, nz4,x5,y5,z5,vx5,vy5,vz5, sdf5, nx5, ny5, nz5,x6,y6,z6,vx6,vy6,vz6, sdf6, nx6, ny6, nz6,x7,y7,z7,vx7,vy7,vz7, sdf7, nx7, ny7, nz7,x8,y8,z8,vx8,vy8,vz8, sdf8, nx8, ny8, nz8,x9,y9,z9,vx9,vy9,vz9, sdf9, nx9, ny9, nz9,dx0,dy0,dz0,dx1,dy1,dz1,dx2,dy2,dz2,dx3,dy3,dz3,dx4,dy4,dz4,dx5,dy5,dz5,dx6,dy6,dz6,dx7,dy7,dz7,dx8,dy8,dz8,dx9,dy9,dz9
1,-0.0025,-0.005,0,0,0,0,-0.005,-0.0025,0,0,0,0,-0.005,-0.005,0,0,0,0,-0.0025,-0.0025,0,0,0,0,0,-0.005,0,0,0,0,-0.005,0,0,0,0,0,0,-0.0025,0,0,0,0,0.0025,-0.005,0,0,0,0,-0.0025,0,0,0,0,0,-0.005,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.562684,2.564194,2.565037,2.56184,2.560331,2.563352,2.559486,2.557978,2.560998,2.562512,-0.9411681,-0.3379389,0,-0.9415202,-0.3369565,0,-0.9412611,-0.3376794,0,-0.9414275,-0.3372156,0,-0.9410747,-0.3381987,0,-0.9417788,-0.336233,0,-0.9413345,-0.3374749,0,-0.9409811,-0.3384589,0,-0.9416865,-0.3364916,0,-0.9420371,-0.3355088,0
2,-0.2500001,-0.5,0,-12.37501,-24.75001,0,-0.5000001,-0.25,0,-24.75002,-12.375,0,-0.5000001,-0.5,0,-24.75002,-24.75001,0,-0.2500001,-0.25,0,-12.37501,-12.375,0,0,-0.5,0,0,-24.75001,0,-0.5000001,0,0,-24.75002,0,0,0,-0.25,0,0,-12.375,0,0.2500001,-0.5,0,12.37501,-24.75001,0,-0.2500001,0,0,-12.37501,0,0,-0.5000001,0.25,0,-24.75002,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.965978,3.095553,3.191951,2.863109,2.743532,3.014328,2.633369,2.525393,2.776126,2.949348,-0.8972937,-0.4414339,0,-0.9344878,-0.3559953,0,-0.910088,-0.4144151,0,-0.9247397,-0.3806002,0,-0.8817548,-0.471708,0,-0.9560861,-0.2930859,0,-0.9127556,-0.408506,0,-0.862698,-0.5057195,0,-0.949292,-0.3143957,0,-0.9740972,-0.2261297,0
3,-0.2499822,-0.4999812,0,0.000893325,0.0009387735,0,-0.5000013,-0.2499766,0,-5.662443E-05,0.001169742,0,-0.4999944,-0.4998829,0,0.0002861024,0.005854669,0,-0.2500052,-0.2499586,0,-0.0002592803,0.002067537,0,-4.312905E-05,-0.4999559,0,-0.002156453,0.002206863,0,-0.4999581,4.705476E-05,0,0.002102555,0.002352739,0,5.944457E-09,-0.2499295,0,2.97223E-07,0.003523381,0,0.2499517,-0.4999508,0,-0.002417714,0.002461673,0,-0.2500053,7.757397E-05,0,-0.0002607704,0.0038787,0,-0.5000008,0.2499613,0,-3.57628E-05,-0.001934172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.948019,3.076863,3.173704,2.844612,2.725928,2.995157,2.615096,2.508172,2.757127,2.929879,-0.8961617,-0.4437276,0,-0.9337795,-0.3578489,0,-0.9091625,-0.4164415,0,-0.9238757,-0.3826928,0,-0.8803803,-0.4742685,0,-0.955596,-0.29468,0,-0.9116896,-0.4108797,0,-0.8610041,-0.5085981,0,-0.9486906,-0.3162058,0,-0.9737957,-0.2274246,0
4,-0.25001,-0.5000454,0,-0.001389534,-0.003206731,0,-0.499993,-0.249971,0,0.0004127623,0.0002793969,0,-0.4999739,-0.4999978,0,0.0010252,-0.00574291,0,-0.2499513,-0.2500104,0,0.002699347,-0.002587588,0,4.236039E-05,-0.5000222,0,0.004274473,-0.00331849,0,-0.5000117,4.295079E-05,0,-0.0026837,-0.0002051988,0,1.655885E-05,-0.2500732,0,0.0008276455,-0.007181617,0,0.250001,-0.500045,0,0.002466888,-0.004711749,0,-0.2499658,-4.762843E-05,0,0.001975895,-0.006260122,0,-0.5000074,0.2500564,0,-0.0003278257,0.004751982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777222,2.898372,3.000197,2.668159,2.558312,2.81233,2.441263,2.344645,2.575693,2.743302,-0.8843246,-0.4668726,0,-0.9263588,-0.3766424,0,-0.8994043,-0.4371176,0,-0.9147487,-0.4040233,0,-0.8658618,-0.5002832,0,-0.9504275,-0.3109463,0,-0.900328,-0.435212,0,-0.8430287,-0.5378686,0,-0.9422539,-0.3348994,0,-0.9706545,-0.2404783,0
5,-0.2500331,-0.4998652,0,-0.00115335,0.009009246,0,-0.5000392,-0.2499152,0,-0.002311171,0.002792479,0,-0.5000488,-0.4999358,0,-0.003746153,0.003099443,0,-0.2500465,-0.2498851,0,-0.004763158,0.006263705,0,3.088052E-05,-0.4999574,0,-0.0005739936,0.003243984,0,-0.5000847,0.000122199,0,-0.003647806,0.003962413,0,-1.012828E-05,-0.2499318,0,-0.001334357,0.007066133,0,0.2500283,-0.4999977,0,0.001364947,0.002366305,0,-0.2500092,6.597872E-05,0,-0.0021711,0.00568036,0,-0.4999865,0.2499938,0,0.001044572,-0.003129245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.605477,2.717991,2.825364,2.490264,2.390537,2.627012,2.266381,2.18172,2.392081,2.553749,-0.8702363,-0.4926345,0,-0.9174993,-0.3977373,0,-0.8878771,-0.4600807,0,-0.9037704,-0.4280175,0,-0.8484356,-0.5292986,0,-0.9442083,-0.3293489,0,-0.8865286,-0.4626738,0,-0.8212778,-0.5705284,0,-0.9344394,-0.3561221,0,-0.9668286,-0.2554258,0
6,-0.2499312,-0.4998972,0,0.005091729,-0.001603366,0,-0.5000431,-0.2499987,0,-0.0001937152,-0.004176052,0,-0.4999892,-0.5000279,0,0.002980233,-0.004605951,0,-0.2499954,-0.2499915,0,0.00255406,-0.005319717,0,-4.157352E-05,-0.4999408,0,-0.003622703,0.0008285049,0,-0.500031,1.794496E-05,0,0.00268519,-0.005212706,0,4.0016E-05,-0.2499319,0,0.002507215,-3.725292E-06,0,0.2500165,-0.4999598,0,-0.0005930664,0.001895428,0,-0.2499758,4.509889E-05,0,0.001668931,-0.001043992,0,-0.4999411,0.2500556,0,0.002270938,0.003089012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.519217,2.626991,2.737338,2.400656,2.306666,2.533228,2.178526,2.100613,2.299309,2.457602,-0.8621108,-0.5067198,0,-0.9123825,-0.4093387,0,-0.8812668,-0.4726191,0,-0.8973711,-0.4412766,0,-0.8383648,-0.5451096,0,-0.9405821,-0.3395663,0,-0.8784418,-0.4778494,0,-0.8086373,-0.5883074,0,-0.9298527,-0.3679319,0,-0.9646025,-0.2637084,0
7,-0.2500357,-0.5000167,0,-0.005225839,-0.005975368,0,-0.5000984,-0.2499991,0,-0.002765657,-1.862646E-05,0,-0.5000677,-0.5000066,0,-0.003921987,0.001066924,0,-0.2500494,-0.2499641,0,-0.002700092,0.001373143,0,-8.991855E-05,-0.4999783,0,-0.002417253,-0.001874567,0,-0.5000032,-3.29135E-05,0,0.001388789,-0.002542924,0,-6.261992E-05,-0.2499576,0,-0.005131798,-0.001285971,0,0.2499693,-0.4999303,0,-0.00235811,0.001475216,0,-0.2500602,-1.797545E-05,0,-0.004218521,-0.003153719,0,-0.4999845,0.2499667,0,-0.0021711,-0.004442783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.402896,2.503426,2.61816,2.27925,2.193687,2.405619,2.059939,1.9919,2.173371,2.326659,-0.8498246,-0.5270656,0,-0.9046385,-0.4261796,0,-0.8713421,-0.490676,0,-0.8876374,-0.460543,0,-0.8230378,-0.5679866,0,-0.9350572,-0.3544969,0,-0.8660281,-0.4999954,0,-0.7893362,-0.6139612,0,-0.9227964,-0.3852881,0,-0.9611703,-0.2759559,0
8,-0.2499452,-0.5000603,0,0.00452772,-0.00217557,0,-0.5000393,-0.2500307,0,0.002956392,-0.001583249,0,-0.4999749,-0.5000765,0,0.004637243,-0.003495814,0,-0.2499828,-0.2500212,0,0.003331156,-0.002858044,0,-5.520481E-05,-0.4999851,0,0.001735688,-0.0003397466,0,-0.5000476,1.993069E-05,0,-0.002220274,0.002642211,0,-5.60281E-05,-0.2500269,0,0.0003295908,-0.003465266,0,0.2499666,-0.4999755,0,-0.0001363457,-0.002263487,0,-0.2500291,2.865155E-05,0,0.001551211,0.002331351,0,-0.5000085,0.2499566,0,-0.001201034,-0.0005029144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.318442,2.413328,2.531468,2.19094,2.112062,2.312456,1.973961,1.913859,2.081427,2.230808,-0.8398138,-0.5428746,0,-0.898306,-0.4393705,0,-0.8632766,-0.5047311,0,-0.8796195,-0.475678,0,-0.8105001,-0.5857385,0,-0.9305279,-0.3662209,0,-0.8557438,-0.5173998,0,-0.7734727,-0.6338296,0,-0.916954,-0.398993,0,-0.9583353,-0.2856457,0
9,-0.2499919,-0.4999461,0,-0.002334268,0.005707147,0,-0.5000214,-0.24998,0,0.00089407,0.002533943,0,-0.500029,-0.4999413,0,-0.002703072,0.00676066,0,-0.2499647,-0.2500042,0,0.0009037558,0.0008508567,0,1.775255E-05,-0.4999995,0,0.003647869,-0.0007227066,0,-0.4999323,7.453487E-05,0,0.005763771,0.00273021,0,6.223035E-05,-0.2499788,0,0.005912925,0.002408774,0,0.2500234,-0.5000464,0,0.002841653,-0.003544988,0,-0.2500066,3.497542E-05,0,0.001125038,0.0003161932,0,-0.499976,0.2499571,0,0.001627208,2.458693E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.209386,2.296261,2.419158,2.076496,2.007062,2.190916,1.862759,1.814077,1.961896,2.105565,-0.8253075,-0.5646836,0,-0.8890825,-0.4577471,0,-0.8516545,-0.5241036,0,-0.8678648,-0.4968004,0,-0.792189,-0.6102758,0,-0.9238554,-0.3827416,0,-0.8405523,-0.5417305,0,-0.7502177,-0.6611909,0,-0.9082801,-0.4183625,0,-0.9541353,-0.2993757,0
10,-0.2500808,-0.4999619,0,-0.004445018,-0.0007897618,0,-0.5000508,-0.2499571,0,-0.001469255,0.001148135,0,-0.5000621,-0.5000055,0,-0.00165701,-0.003211201,0,-0.2500065,-0.2499977,0,-0.002086163,0.0003248454,0,-4.017887E-05,-0.4999913,0,-0.002896572,0.0004097821,0,-0.4999683,-1.255926E-05,0,-0.001797081,-0.004354708,0,1.657198E-05,-0.2499787,0,-0.002282919,2.235175E-06,0,0.2500009,-0.4999087,0,-0.001125038,0.006887319,0,-0.2499835,5.871561E-05,0,0.001156331,0.00118701,0,-0.5000302,0.2499885,0,-0.002712013,0.001569093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.126546,2.206673,2.333507,1.989185,1.927697,2.097753,1.778371,1.739057,1.870301,2.009205,-0.8128312,-0.5824994,0,-0.8811218,-0.4728894,0,-0.841685,-0.5399688,0,-0.8576561,-0.5142237,0,-0.776414,-0.6302233,0,-0.9180341,-0.3965013,0,-0.827276,-0.5617957,0,-0.7301542,-0.6832825,0,-0.9006626,-0.4345192,0,-0.9504557,-0.31086,0
11,-0.2500286,-0.4998649,0,0.002610684,0.00484884,0,-0.5000219,-0.2499353,0,0.001445413,0.00109002,0,-0.4999779,-0.49992,0,0.00420809,0.004276635,0,-0.2500119,-0.2498928,0,-0.0002697111,0.005245211,0,-1.271624E-05,-0.4998992,0,0.001373132,0.004605951,0,-0.5000311,0.0001206019,0,-0.003141166,0.006658059,0,1.366961E-05,-0.2498603,0,-0.0001451187,0.005921724,0,0.2500122,-0.4999617,0,0.0005662444,-0.002649427,0,-0.2500104,5.451601E-05,0,-0.001344085,-0.0002099799,0,-0.4999837,0.2499468,0,0.002324582,-0.002085418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.018928,2.089552,2.221765,1.87541,1.825292,1.975528,1.66895,1.643372,1.750606,1.882406,-0.7944363,-0.6073475,0,-0.869309,-0.4942689,0,-0.8270653,-0.5621058,0,-0.8424278,-0.5388092,0,-0.7530718,-0.6579384,0,-0.9093536,-0.4160241,0,-0.8073426,-0.5900829,0,-0.700339,-0.7138104,0,-0.8891426,-0.4576302,0,-0.944878,-0.3274224,0
12,-0.2500755,-0.4998749,0,-0.002348424,-0.000497699,0,-0.5000435,-0.2499045,0,-0.001081825,0.001541526,0,-0.5000889,-0.499894,0,-0.005546215,0.001299382,0,-0.2500651,-0.249926,0,-0.002664329,-0.001662225,0,-6.663179E-05,-0.4999431,0,-0.002695779,-0.002193452,0,-0.5000747,0.0001089805,0,-0.002178551,-0.0005810673,0,-3.719106E-05,-0.2498986,0,-0.002543034,-0.001915545,0,0.2499088,-0.4999533,0,-0.00517294,0.0004187228,0,-0.2500464,0.0001150371,0,-0.001801551,0.003026055,0,-0.499994,0.2499651,0,-0.00051111,0.0009141866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.941927,2.004925,2.141452,1.793613,1.752564,1.886903,1.59078,1.576056,1.664034,1.790139,-0.7794189,-0.6265031,0,-0.8596075,-0.5109551,0,-0.8151948,-0.5791868,0,-0.8298147,-0.5580391,0,-0.7339526,-0.6792006,0,-0.9021245,-0.4314758,0,-0.7907315,-0.612163,0,-0.6759453,-0.7369519,0,-0.8794941,-0.4759097,0,-0.9402062,-0.3406059,0
13,-0.2500342,-0.4999934,0,0.002065302,-0.005923214,0,-0.4999989,-0.2499784,0,0.002230705,-0.003696234,0,-0.500015,-0.4999564,0,0.003692509,-0.003121794,0,-0.2499619,-0.2500113,0,0.005161019,-0.004260989,0,-2.469806E-05,-0.4999523,0,0.002096687,-0.0004619362,0,-0.5000924,3.031144E-05,0,-0.0008851293,-0.003933456,0,5.499007E-05,-0.2499391,0,0.004609059,-0.002027304,0,0.2500259,-0.4999793,0,0.005853924,-0.001297892,0,-0.2500443,-2.733621E-05,0,0.0001072884,-0.007118668,0,-0.4999808,0.2499899,0,0.0006571414,0.001239032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837763,1.889297,2.03204,1.682299,1.654926,1.765305,1.485183,1.486803,1.545788,1.663039,-0.7560889,-0.6544688,0,-0.8443999,-0.5357135,0,-0.7968033,-0.6042387,0,-0.8099185,-0.5865424,0,-0.7042226,-0.7099792,0,-0.8906592,-0.4546715,0,-0.7643968,-0.6447461,0,-0.6379581,-0.7700711,0,-0.8640029,-0.5034868,0,-0.9327172,-0.3606085,0
