frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,-4.216044E-08,1.499913,0.2255826,-0.004360544,-74.99863,0.0009924177,0.1595619,-0.2757716,0.7124619,0.6452504,1,0.5,0,1.407672E-08,0.9999233,-0.2253254,-25.00384,-50.00026,0.006111714,-0.3139103,-0.9774233,-0.1616247,-0.1360926,1,1,1,1.411698E-08,0.9999757,0.2256658,-25.00122,-49.99885,0.001328439,-0.03612906,-0.3921099,-0.06472553,0.9176385,1,1,0,-4.214964E-08,1.499981,-0.2254847,-0.0009286856,-74.99792,-0.001092256,0.004594326,-0.3604647,0.9314045,-0.05050526,1,0.5,1,-5.960464E-08,2,0.225496,25.00002,-100.0001,0,0.5747236,-0.1692421,0.9025579,0.395912,0,0,0,-5.960464E-08,2,-0.225496,25.00002,-100.0001,0,0.4872355,-0.1842402,0.9825419,-0.02582564,0,0,1
1,0.01820105,1.500293,0.219883,-0.8867005,-75.92898,-0.04919844,0.1499035,0.2427859,0.7236359,0.6460698,1,0.5,0,-0.2498383,1.033621,-0.1823069,-11.98263,-39.01243,0.3996389,-0.3882787,-0.9868479,0.03241405,0.1583681,1,1,1,-0.05266967,1.001885,0.2226528,-22.81614,-47.41672,0.1344123,-0.06758776,0.2010043,-0.06501933,0.9774302,1,1,0,-0.07845832,1.506199,-0.2204969,3.615694,-71.29994,0.08309188,-0.01945579,0.1272059,0.9909588,-0.04265356,1,0.5,1,-5.960464E-08,2,0.225496,25.00002,-100.0001,0,0.5683781,0.1306525,0.9079185,0.3982635,0,0,0,-5.960464E-08,2,-0.225496,25.00002,-100.0001,0,0.4803239,0.142388,0.9894692,-0.02600772,0,0,1
2,-0.1066346,1.511619,0.2221026,5.462661,-70.14699,0.01502336,0.2299204,0.47981,0.659824,0.5782859,1,0.5,0,-0.4953631,1.14243,-0.1793374,6.398619,-32.00768,-0.1884022,-0.3793759,-0.3192176,0.9320716,0.1712972,1,1,1,-0.3248563,1.058883,0.2298241,-6.766584,-36.37717,0.01562834,-0.04943669,0.2929696,0.06410415,0.9539704,1,1,0,-0.1860343,1.535989,-0.2210259,10.86029,-67.40354,-0.02226458,0.07429302,0.4715771,0.8810645,-0.03661184,1,0.5,1,-5.960464E-08,2,0.225496,25.00002,-100.0001,0,0.6535451,0.3960466,0.8408863,0.3688594,0,0,0,-5.960464E-08,2,-0.225496,25.00002,-100.0001,0,0.5725062,0.425972,0.904424,-0.02377235,0,0,1
3,-0.1996845,1.541488,0.2245045,12.12677,-67.12998,-0.001404435,0.3795621,0.6549007,0.5815254,0.4826316,1,0.5,0,-0.3714741,1.072131,-0.2270816,-1.671071,-35.53642,0.05109238,-0.09267297,0.9924119,0.1034321,-0.06648619,1,1,1,-0.4250032,1.094637,0.2201355,1.298215,-33.63585,-0.04978331,0.05107832,0.6364017,0.117292,0.762388,1,1,0,-0.1592978,1.525944,-0.2244727,9.655863,-68.47218,0.02225489,0.2915323,0.7787585,0.6265613,-0.03091817,1,0.5,1,-5.960464E-08,2,0.225496,25.00002,-100.0001,0,0.8128875,0.5908429,0.7388297,0.3240917,0,0,0,-5.960464E-08,2,-0.225496,25.00002,-100.0001,0,0.742287,0.6244211,0.7808182,-0.02052343,0,0,1
4,-0.006189827,1.50017,0.222646,1.266535,-74.7275,0.02039076,0.5992033,0.818046,0.4277368,0.3845021,1,0.5,0,0.06557906,1.002517,-0.2244136,-26.91106,-53.33322,-0.07078576,0.4716634,0.9992841,-0.02828435,-0.02512562,1,1,1,-0.07305091,1.003024,0.2048351,-19.49358,-46.6438,0.08516613,0.4259619,0.89889,-0.02913255,0.437205,1,1,0,0.06353448,1.504051,-0.2228699,-2.264683,-78.29456,-0.01767949,0.5789161,0.8980525,0.4393774,-0.02119711,1,0.5,1,-5.960464E-08,2,0.225496,25.00002,-100.0001,0,0.8934404,0.6497505,0.696119,0.3053564,0,0,0,-5.960464E-08,2,-0.225496,25.00002,-100.0001,0,0.827132,0.6822145,0.7308996,-0.01921135,0,0,1
5,0.180733,1.533744,0.2243904,-7.252686,-85.68793,-0.004298987,0.5111011,0.7586895,0.4982129,0.419731,1,0.5,0,0.3599543,1.069591,-0.2302688,-39.0804,-71.26541,-0.08365813,0.4476444,0.9986163,0.04177803,-0.03194112,1,1,1,0.420354,1.093786,0.2160598,-40.2664,-75.20271,-0.1719833,0.5911852,0.9226048,0.05845551,0.3812916,1,1,0,0.1356214,1.518687,-0.2240252,-5.89219,-82.73199,0.01561791,0.3721676,0.8278226,0.5603132,-0.02754659,1,0.5,1,-5.960464E-08,2,0.225496,25.00002,-100.0001,0,0.7106971,0.4843315,0.8011916,0.3514471,0,0,0,-5.960464E-08,2,-0.225496,25.00002,-100.0001,0,0.6337507,0.5172025,0.8555675,-0.02248818,0,0,1
6,0.159618,1.526261,0.2225515,-6.809083,-84.34023,-0.0009417537,0.2812962,0.5514062,0.635177,0.540834,1,0.5,0,0.3034227,1.05259,-0.2337726,-38.17342,-68.05692,0.00312403,0.07605106,0.9975094,0.03921472,-0.05862774,1,1,1,0.431481,1.104258,0.1955392,-42.24243,-77.34661,0.1200028,0.3097636,0.8677527,0.09170341,0.4884625,1,1,0,0.09617116,1.509299,-0.2235153,-4.513507,-80.31024,0.001738221,0.1043488,0.6078688,0.7930835,-0.03891022,1,0.5,1,-5.960464E-08,2,0.225496,25.00002,-100.0001,0,0.5933862,0.2480309,0.8871525,0.3891543,0,0,0,-5.960464E-08,2,-0.225496,25.00002,-100.0001,0,0.50752,0.2691694,0.9627603,-0.02530569,0,0,1
7,-0.003053585,1.500073,0.2230861,-0.6957526,-74.86172,-0.05330744,0.1349126,-0.08831019,0.7403738,0.6663691,1,0.5,0,0.1639804,1.016149,-0.2015532,-31.23421,-58.80899,0.5943204,-0.3881634,0.9922037,-0.1238507,-0.01388778,1,1,1,-0.04393333,1.000121,0.1997246,-24.16403,-47.80143,-0.4603701,-0.08760256,-0.2350863,-0.07245304,0.9692703,1,1,0,0.0404101,1.501523,-0.2255218,-1.997619,-77.10545,0.02157019,-0.02761889,-0.02668515,0.9981828,-0.05402799,1,0.5,1,-5.960464E-08,2,0.225496,25.00002,-100.0001,0,0.560546,-0.04998908,0.9146234,0.4012046,0,0,0,-5.960464E-08,2,-0.225496,25.00002,-100.0001,0,0.4717825,-0.05455513,0.998166,-0.02623631,0,0,1
8,-0.0807588,1.506601,0.2203619,4.696844,-71.34438,0.005500766,0.2821996,-0.5830378,0.609309,0.53741,1,0.5,0,0.3535533,1.130094,-0.1252432,-35.71012,-73.87572,-0.3770979,-0.3731927,-0.1714399,0.7893426,0.5895308,1,1,1,0.1749348,1.07977,0.2856186,-28.44442,-62.22792,0.05715343,0.0276798,-0.3796968,0.09431788,0.9202904,1,1,0,0.02500392,1.500662,-0.2178134,-1.159022,-76.28648,-0.0582658,0.0869776,-0.5967676,0.80184,-0.03034764,1,0.5,1,-5.960464E-08,2,0.225496,25.00002,-100.0001,0,0.6237403,-0.3339679,0.863189,0.3786426,0,0,0,-5.960464E-08,2,-0.225496,25.00002,-100.0001,0,0.5403824,-0.3607262,0.9323497,-0.02450637,0,0,1
9,0.2212723,1.551685,0.2180494,-7.737484,-88.29566,-0.001259894,0.3193554,-0.5781778,0.6367013,0.5102174,1,0.5,0,0.2786544,1.03893,-0.218299,-37.8307,-66.27176,0.5704964,-0.08315137,-0.9988064,0.02142228,-0.04389836,1,1,1,0.3786543,1.07335,0.2201321,-40.33612,-72.55019,0.3764996,0.0277009,-0.5994895,0.08214832,0.7961558,1,1,0,0.1220625,1.515215,-0.2203037,-5.112833,-81.7997,0.1347535,0.2510725,-0.7628331,0.6460301,-0.027033,1,0.5,1,-5.960464E-08,2,0.225496,25.00002,-100.0001,0,0.766878,-0.548597,0.765662,0.3358618,0,0,0,-5.960464E-08,2,-0.225496,25.00002,-100.0001,0,0.6935591,-0.5822967,0.8126957,-0.02136132,0,0,1
