x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
0.0,-3.37923e-05,-0.2256075,0.0,-0.4999774,0.2255087,0.0,-0.5000405,-0.2254697,0.0,1.821575e-05,0.2254344,0,0.5,-0.225496,0,0.5,0.225496
0.0,5.613847e-05,-0.2255557,0.0,-0.4998719,0.2252941,0.0,-0.4999703,-0.2256812,0.0,3.437446e-05,0.2254692,0,0.5,-0.225496,0,0.5,0.225496
0.0,2.682007e-05,-0.2255689,0.0,-0.4999265,0.2254283,0.0,-0.5000547,-0.2255458,0.0,-6.362097e-06,0.2254924,0,0.5,-0.225496,0,0.5,0.225496
0.0,2.73936e-05,-0.2254642,0.0,-0.5000266,0.2256469,0.0,-0.500035,-0.225357,0.0,7.211075e-05,0.2255424,0,0.5,-0.225496,0,0.5,0.225496
0.0,1.626203e-05,-0.2255057,0.0,-0.4999,0.2255384,0.0,-0.4999188,-0.2254783,0.0,2.867637e-05,0.2255251,0,0.5,-0.225496,0,0.5,0.225496
-0.004432864,-0.0003879851,-0.2256526,-0.003148598,-0.500228,0.2235237,-0.07425122,-0.4956196,-0.2218126,0.002976094,-0.0002112911,0.2254198,0,0.5,-0.225496,0,0.5,0.225496
-0.06435618,0.003843228,-0.221851,-0.08235548,-0.4908482,0.2347362,-0.174883,-0.483487,-0.2066339,0.01110072,0.0001914229,0.2228463,0,0.5,-0.225496,0,0.5,0.225496
-0.07762566,0.005611812,-0.2255918,-0.2382257,-0.469228,0.2217757,-0.2914219,-0.4465082,-0.2255233,-0.08434976,0.006563545,0.2254497,0,0.5,-0.225496,0,0.5,0.225496
-0.1335554,0.01818433,-0.2253202,-0.3851676,-0.4184866,0.2211676,-0.3665022,-0.4241389,-0.2293288,-0.1508242,0.02312806,0.2253401,0,0.5,-0.225496,0,0.5,0.225496
-0.1919078,0.03832983,-0.2254519,-0.466727,-0.380922,0.2242364,-0.4656571,-0.380122,-0.2267224,-0.1980661,0.04073319,0.2254609,0,0.5,-0.225496,0,0.5,0.225496
-0.2390785,0.06042916,-0.2249109,-0.4852904,-0.3716326,0.2272206,-0.5619374,-0.3213348,-0.2143369,-0.2093547,0.04544407,0.2249035,0,0.5,-0.225496,0,0.5,0.225496
-0.251604,0.06661934,-0.2234338,-0.4770848,-0.3743083,0.2276744,-0.6062568,-0.2855124,-0.1961181,-0.1949086,0.03845134,0.2232004,0,0.5,-0.225496,0,0.5,0.225496
-0.2492618,0.06569751,-0.2230511,-0.5444455,-0.3152659,0.244636,-0.6492541,-0.2323658,-0.1861147,-0.1904229,0.03713967,0.2232659,0,0.5,-0.225496,0,0.5,0.225496
-0.2171621,0.04945599,-0.2253513,-0.6166804,-0.2344755,0.2351367,-0.6595991,-0.1832761,-0.2109569,-0.1996606,0.04125154,0.2252468,0,0.5,-0.225496,0,0.5,0.225496
-0.1837878,0.03478203,-0.2255169,-0.6257588,-0.2134207,0.2167927,-0.6339956,-0.1825999,-0.233101,-0.1943569,0.03912447,0.2253509,0,0.5,-0.225496,0,0.5,0.225496
-0.1502669,0.02296342,-0.2251589,-0.5847948,-0.259688,0.2035735,-0.5780448,-0.2348487,-0.2466664,-0.1800187,0.0332904,0.2248126,0,0.5,-0.225496,0,0.5,0.225496
-0.1282506,0.01662467,-0.22507,-0.4333096,-0.3918706,0.2147756,-0.3971868,-0.4046789,-0.2345594,-0.1580707,0.02555628,0.2249178,0,0.5,-0.225496,0,0.5,0.225496
-0.1365026,0.0183876,-0.2253947,-0.2364403,-0.4712119,0.2241646,-0.1750989,-0.4802868,-0.222619,-0.1375357,0.01888139,0.2256217,0,0.5,-0.225496,0,0.5,0.225496
-0.03696565,0.001227064,-0.2253862,0.1071212,-0.4706206,0.2329697,0.1269808,-0.471174,-0.2175626,-0.05362194,0.002880775,0.225344,0,0.5,-0.225496,0,0.5,0.225496
