frame,x0,y0,z0,vx0,vy0,vz0, sdf0, nx0, ny0, nz0,x1,y1,z1,vx1,vy1,vz1, sdf1, nx1, ny1, nz1,x2,y2,z2,vx2,vy2,vz2, sdf2, nx2, ny2, nz2,x3,y3,z3,vx3,vy3,vz3, sdf3, nx3, ny3, nz3,x4,y4,z4,vx4,vy4,vz4, sdf4, nx4, ny4, nz4,x5,y5,z5,vx5,vy5,vz5, sdf5, nx5, ny5, nz5,x6,y6,z6,vx6,vy6,vz6, sdf6, nx6, ny6, nz6,x7,y7,z7,vx7,vy7,vz7, sdf7, nx7, ny7, nz7,x8,y8,z8,vx8,vy8,vz8, sdf8, nx8, ny8, nz8,x9,y9,z9,vx9,vy9,vz9, sdf9, nx9, ny9, nz9,dx0,dy0,dz0,dx1,dy1,dz1,dx2,dy2,dz2,dx3,dy3,dz3,dx4,dy4,dz4,dx5,dy5,dz5,dx6,dy6,dz6,dx7,dy7,dz7,dx8,dy8,dz8,dx9,dy9,dz9
1,-0.0025,-0.005,0,0,0,0,-0.005,-0.0025,0,0,0,0,-0.005,-0.005,0,0,0,0,-0.0025,-0.0025,0,0,0,0,0,-0.005,0,0,0,0,-0.005,0,0,0,0,0,0,-0.0025,0,0,0,0,0.0025,-0.005,0,0,0,0,-0.0025,0,0,0,0,0,-0.005,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.562684,2.564194,2.565037,2.56184,2.560331,2.563352,2.559486,2.557978,2.560998,2.562512,-0.9411681,-0.3379389,0,-0.9415202,-0.3369565,0,-0.9412611,-0.3376794,0,-0.9414275,-0.3372156,0,-0.9410747,-0.3381987,0,-0.9417788,-0.336233,0,-0.9413345,-0.3374749,0,-0.9409811,-0.3384589,0,-0.9416865,-0.3364916,0,-0.9420371,-0.3355088,0
2,-0.2500001,-0.5,0,-12.37501,-24.75001,0,-0.5000001,-0.25,0,-24.75002,-12.375,0,-0.5000001,-0.5,0,-24.75002,-24.75001,0,-0.2500001,-0.25,0,-12.37501,-12.375,0,0,-0.5,0,0,-24.75001,0,-0.5000001,0,0,-24.75002,0,0,0,-0.25,0,0,-12.375,0,0.2500001,-0.5,0,12.37501,-24.75001,0,-0.2500001,0,0,-12.37501,0,0,-0.5000001,0.25,0,-24.75002,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.965978,3.095553,3.191951,2.863109,2.743532,3.014328,2.633369,2.525393,2.776126,2.949348,-0.8972937,-0.4414339,0,-0.9344878,-0.3559953,0,-0.910088,-0.4144151,0,-0.9247397,-0.3806002,0,-0.8817548,-0.471708,0,-0.9560861,-0.2930859,0,-0.9127556,-0.408506,0,-0.862698,-0.5057195,0,-0.949292,-0.3143957,0,-0.9740972,-0.2261297,0
3,-0.2499822,-0.4999812,0,0.000893325,0.0009387735,0,-0.5000013,-0.2499766,0,-5.662443E-05,0.001169742,0,-0.4999944,-0.4998829,0,0.0002861024,0.005854669,0,-0.2500052,-0.2499586,0,-0.0002592803,0.002067537,0,-4.312905E-05,-0.4999559,0,-0.002156453,0.002206863,0,-0.4999581,4.705476E-05,0,0.002102555,0.002352739,0,5.944457E-09,-0.2499295,0,2.97223E-07,0.003523381,0,0.2499517,-0.4999508,0,-0.002417714,0.002461673,0,-0.2500053,7.757397E-05,0,-0.0002607704,0.0038787,0,-0.5000008,0.2499613,0,-3.57628E-05,-0.001934172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.948019,3.076863,3.173704,2.844612,2.725928,2.995157,2.615096,2.508172,2.757127,2.929879,-0.8961617,-0.4437276,0,-0.9337795,-0.3578489,0,-0.9091625,-0.4164415,0,-0.9238757,-0.3826928,0,-0.8803803,-0.4742685,0,-0.955596,-0.29468,0,-0.9116896,-0.4108797,0,-0.8610041,-0.5085981,0,-0.9486906,-0.3162058,0,-0.9737957,-0.2274246,0
4,-0.2499822,-0.4999812,0,0.000893325,0.0009387735,0,-0.5000013,-0.2499766,0,-5.662443E-05,0.001169742,0,-0.4999944,-0.4998829,0,0.0002861024,0.005854669,0,-0.2500052,-0.2499586,0,-0.0002592803,0.002067537,0,-4.312905E-05,-0.4999559,0,-0.002156453,0.002206863,0,-0.4999581,4.705476E-05,0,0.002102555,0.002352739,0,5.944457E-09,-0.2499295,0,2.97223E-07,0.003523381,0,0.2499517,-0.4999508,0,-0.002417714,0.002461673,0,-0.2500053,7.757397E-05,0,-0.0002607704,0.0038787,0,-0.5000008,0.2499613,0,-3.57628E-05,-0.001934172,0,-2.540648E-05,1.66893E-06,0,8.746982E-05,-6.332994E-05,0,2.31564E-05,-0.0001545846,0,5.051494E-05,7.7039E-06,0,2.672023E-07,-5.933642E-05,0,-8.508563E-05,-3.583263E-05,0,1.779223E-05,-0.0001418144,0,4.690886E-05,-8.094311E-05,0,5.063415E-05,-8.138506E-05,0,4.696846E-05,7.43866E-05,0,2.948019,3.076863,3.173704,2.844612,2.725928,2.995157,2.615096,2.508172,2.757127,2.929879,-0.8961617,-0.4437276,0,-0.9337795,-0.3578489,0,-0.9091625,-0.4164415,0,-0.9238757,-0.3826928,0,-0.8803803,-0.4742685,0,-0.955596,-0.29468,0,-0.9116896,-0.4108797,0,-0.8610041,-0.5085981,0,-0.9486906,-0.3162058,0,-0.9737957,-0.2274246,0
5,-0.2500076,-0.4999796,0,-0.001270324,8.344654E-05,0,-0.4999138,-0.2500399,0,0.004373493,-0.003166498,0,-0.4999712,-0.5000375,0,0.001157821,-0.007729236,0,-0.2499547,-0.2499509,0,0.002525748,0.0003851952,0,-4.286184E-05,-0.5000152,0,1.336012E-05,-0.002966822,0,-0.5000432,1.122214E-05,0,-0.004254283,-0.001791632,0,1.779817E-05,-0.2500713,0,0.0008896118,-0.00709072,0,0.2499986,-0.5000317,0,0.002345444,-0.004047157,0,-0.2499546,-3.811091E-06,0,0.002531708,-0.004069254,0,-0.4999539,0.2500357,0,0.002348424,0.003719331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915262,3.042633,3.140486,2.810759,2.693763,2.960271,2.581788,2.476701,2.722384,2.894165,-0.894042,-0.4479831,0,-0.9324401,-0.3613244,0,-0.9073927,-0.4202838,0,-0.922246,-0.3866035,0,-0.8777803,-0.4790635,0,-0.9546716,-0.2976613,0,-0.9096542,-0.4153664,0,-0.8577887,-0.5140024,0,-0.9475389,-0.3196403,0,-0.9732389,-0.2297956,0
6,-0.2500076,-0.4999796,0,-0.001270324,8.344654E-05,0,-0.4999138,-0.2500399,0,0.004373493,-0.003166498,0,-0.4999712,-0.5000375,0,0.001157821,-0.007729236,0,-0.2499547,-0.2499509,0,0.002525748,0.0003851952,0,-4.286184E-05,-0.5000152,0,1.336012E-05,-0.002966822,0,-0.5000432,1.122214E-05,0,-0.004254283,-0.001791632,0,1.779817E-05,-0.2500713,0,0.0008896118,-0.00709072,0,0.2499986,-0.5000317,0,0.002345444,-0.004047157,0,-0.2499546,-3.811091E-06,0,0.002531708,-0.004069254,0,-0.4999539,0.2500357,0,0.002348424,0.003719331,0,1.768768E-05,-9.119511E-05,0,-0.0001008213,1.004338E-05,0,-7.846951E-05,3.564358E-05,0,-3.59863E-05,-9.375811E-05,0,1.526116E-05,-7.814169E-05,0,3.963709E-05,6.980759E-06,0,-7.660929E-06,-2.491474E-05,0,-3.573298E-05,4.988909E-05,0,-2.868474E-05,1.225158E-05,0,-2.673268E-05,1.28448E-05,0,2.915262,3.042633,3.140486,2.810759,2.693763,2.960271,2.581788,2.476701,2.722384,2.894165,-0.894042,-0.4479831,0,-0.9324401,-0.3613244,0,-0.9073927,-0.4202838,0,-0.922246,-0.3866035,0,-0.8777803,-0.4790635,0,-0.9546716,-0.2976613,0,-0.9096542,-0.4153664,0,-0.8577887,-0.5140024,0,-0.9475389,-0.3196403,0,-0.9732389,-0.2297956,0
7,-0.2500076,-0.4999796,0,-0.001270324,8.344654E-05,0,-0.4999138,-0.2500399,0,0.004373493,-0.003166498,0,-0.4999712,-0.5000375,0,0.001157821,-0.007729236,0,-0.2499547,-0.2499509,0,0.002525748,0.0003851952,0,-4.286184E-05,-0.5000152,0,1.336012E-05,-0.002966822,0,-0.5000432,1.122214E-05,0,-0.004254283,-0.001791632,0,1.779817E-05,-0.2500713,0,0.0008896118,-0.00709072,0,0.2499986,-0.5000317,0,0.002345444,-0.004047157,0,-0.2499546,-3.811091E-06,0,0.002531708,-0.004069254,0,-0.4999539,0.2500357,0,0.002348424,0.003719331,0,1.768768E-05,-9.119511E-05,0,-0.0001008213,1.004338E-05,0,-7.846951E-05,3.564358E-05,0,-3.59863E-05,-9.375811E-05,0,1.526116E-05,-7.814169E-05,0,3.963709E-05,6.980759E-06,0,-7.660929E-06,-2.491474E-05,0,-3.573298E-05,4.988909E-05,0,-2.868474E-05,1.225158E-05,0,-2.673268E-05,1.28448E-05,0,2.915262,3.042633,3.140486,2.810759,2.693763,2.960271,2.581788,2.476701,2.722384,2.894165,-0.894042,-0.4479831,0,-0.9324401,-0.3613244,0,-0.9073927,-0.4202838,0,-0.922246,-0.3866035,0,-0.8777803,-0.4790635,0,-0.9546716,-0.2976613,0,-0.9096542,-0.4153664,0,-0.8577887,-0.5140024,0,-0.9475389,-0.3196403,0,-0.9732389,-0.2297956,0
8,-0.2500076,-0.4999796,0,-0.001270324,8.344654E-05,0,-0.4999138,-0.2500399,0,0.004373493,-0.003166498,0,-0.4999712,-0.5000375,0,0.001157821,-0.007729236,0,-0.2499547,-0.2499509,0,0.002525748,0.0003851952,0,-4.286184E-05,-0.5000152,0,1.336012E-05,-0.002966822,0,-0.5000432,1.122214E-05,0,-0.004254283,-0.001791632,0,1.779817E-05,-0.2500713,0,0.0008896118,-0.00709072,0,0.2499986,-0.5000317,0,0.002345444,-0.004047157,0,-0.2499546,-3.811091E-06,0,0.002531708,-0.004069254,0,-0.4999539,0.2500357,0,0.002348424,0.003719331,0,1.768768E-05,-9.119511E-05,0,-0.0001008213,1.004338E-05,0,-7.846951E-05,3.564358E-05,0,-3.59863E-05,-9.375811E-05,0,1.526116E-05,-7.814169E-05,0,3.963709E-05,6.980759E-06,0,-7.660929E-06,-2.491474E-05,0,-3.573298E-05,4.988909E-05,0,-2.868474E-05,1.225158E-05,0,-2.673268E-05,1.28448E-05,0,2.915262,3.042633,3.140486,2.810759,2.693763,2.960271,2.581788,2.476701,2.722384,2.894165,-0.894042,-0.4479831,0,-0.9324401,-0.3613244,0,-0.9073927,-0.4202838,0,-0.922246,-0.3866035,0,-0.8777803,-0.4790635,0,-0.9546716,-0.2976613,0,-0.9096542,-0.4153664,0,-0.8577887,-0.5140024,0,-0.9475389,-0.3196403,0,-0.9732389,-0.2297956,0
9,-0.2499899,-0.5000708,0,0.0008843843,-0.004559757,0,-0.5000146,-0.2500299,0,-0.005041065,0.0005021693,0,-0.5000497,-0.5000018,0,-0.003923477,0.00178218,0,-0.2499907,-0.2500447,0,-0.001799316,-0.004687907,0,-2.760068E-05,-0.5000933,0,0.0007630584,-0.003907086,0,-0.5000035,1.82029E-05,0,0.001981855,0.0003490381,0,1.013725E-05,-0.2500963,0,-0.0003830466,-0.001245738,0,0.2499629,-0.4999818,0,-0.00178665,0.002494455,0,-0.2499833,8.440491E-06,0,-0.001434237,0.0006125793,0,-0.4999806,0.2500485,0,-0.001336635,0.0006422403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.897408,3.024072,3.122395,2.792383,2.676237,2.941133,2.563614,2.459559,2.703452,2.874716,-0.892845,-0.4503641,0,-0.9317016,-0.3632247,0,-0.9064221,-0.422373,0,-0.9213265,-0.3887897,0,-0.8763189,-0.4817314,0,-0.9541544,-0.2993147,0,-0.9085212,-0.4178386,0,-0.8560079,-0.5169628,0,-0.946901,-0.3215255,0,-0.9729261,-0.2311162,0
10,-0.2499899,-0.5000708,0,0.0008843843,-0.004559757,0,-0.5000146,-0.2500299,0,-0.005041065,0.0005021693,0,-0.5000497,-0.5000018,0,-0.003923477,0.00178218,0,-0.2499907,-0.2500447,0,-0.001799316,-0.004687907,0,-2.760068E-05,-0.5000933,0,0.0007630584,-0.003907086,0,-0.5000035,1.82029E-05,0,0.001981855,0.0003490381,0,1.013725E-05,-0.2500963,0,-0.0003830466,-0.001245738,0,0.2499629,-0.4999818,0,-0.00178665,0.002494455,0,-0.2499833,8.440491E-06,0,-0.001434237,0.0006125793,0,-0.4999806,0.2500485,0,-0.001336635,0.0006422403,0,-2.549589E-05,1.40667E-05,0,-6.002188E-05,-2.861023E-06,0,1.811981E-05,-3.474951E-05,0,-3.068149E-05,2.086163E-05,0,3.693787E-05,6.15716E-05,0,6.467104E-06,-1.658577E-05,0,-1.149847E-05,0.0001238734,0,2.549589E-05,-3.528595E-05,0,2.099574E-05,-6.312135E-05,0,-2.166629E-05,4.976988E-06,0,2.897408,3.024072,3.122395,2.792383,2.676237,2.941133,2.563614,2.459559,2.703452,2.874716,-0.892845,-0.4503641,0,-0.9317016,-0.3632247,0,-0.9064221,-0.422373,0,-0.9213265,-0.3887897,0,-0.8763189,-0.4817314,0,-0.9541544,-0.2993147,0,-0.9085212,-0.4178386,0,-0.8560079,-0.5169628,0,-0.946901,-0.3215255,0,-0.9729261,-0.2311162,0
11,-0.2499899,-0.5000708,0,0.0008843843,-0.004559757,0,-0.5000146,-0.2500299,0,-0.005041065,0.0005021693,0,-0.5000497,-0.5000018,0,-0.003923477,0.00178218,0,-0.2499907,-0.2500447,0,-0.001799316,-0.004687907,0,-2.760068E-05,-0.5000933,0,0.0007630584,-0.003907086,0,-0.5000035,1.82029E-05,0,0.001981855,0.0003490381,0,1.013725E-05,-0.2500963,0,-0.0003830466,-0.001245738,0,0.2499629,-0.4999818,0,-0.00178665,0.002494455,0,-0.2499833,8.440491E-06,0,-0.001434237,0.0006125793,0,-0.4999806,0.2500485,0,-0.001336635,0.0006422403,0,-2.549589E-05,1.40667E-05,0,-6.002188E-05,-2.861023E-06,0,1.811981E-05,-3.474951E-05,0,-3.068149E-05,2.086163E-05,0,3.693787E-05,6.15716E-05,0,6.467104E-06,-1.658577E-05,0,-1.149847E-05,0.0001238734,0,2.549589E-05,-3.528595E-05,0,2.099574E-05,-6.312135E-05,0,-2.166629E-05,4.976988E-06,0,2.897408,3.024072,3.122395,2.792383,2.676237,2.941133,2.563614,2.459559,2.703452,2.874716,-0.892845,-0.4503641,0,-0.9317016,-0.3632247,0,-0.9064221,-0.422373,0,-0.9213265,-0.3887897,0,-0.8763189,-0.4817314,0,-0.9541544,-0.2993147,0,-0.9085212,-0.4178386,0,-0.8560079,-0.5169628,0,-0.946901,-0.3215255,0,-0.9729261,-0.2311162,0
