frame,x0,y0,z0,vx0,vy0,vz0,sdf0,nx0,ny0,nz0,md0,u0,v0,x1,y1,z1,vx1,vy1,vz1,sdf1,nx1,ny1,nz1,md1,u1,v1,x2,y2,z2,vx2,vy2,vz2,sdf2,nx2,ny2,nz2,md2,u2,v2,x3,y3,z3,vx3,vy3,vz3,sdf3,nx3,ny3,nz3,md3,u3,v3,x4,y4,z4,vx4,vy4,vz4,sdf4,nx4,ny4,nz4,md4,u4,v4,x5,y5,z5,vx5,vy5,vz5,sdf5,nx5,ny5,nz5,md5,u5,v5
0,0,0,-0.225496,0,0,0,0.54967,-0.9136205,0.4058419,-0.02428953,1,0.5,0,0,-0.5,0.225496,0,0,0,0.5517622,-0.9118031,-0.07035811,0.4045553,1,1,1,0,-0.5,-0.225496,0,0,0,0.4621887,-0.996686,-0.07690799,-0.02649791,1,1,0,0,0,0.225496,0,0,0,0.6323444,-0.8469155,0.3762106,0.3757655,1,0.5,1,0,0.5,-0.225496,0,0,0,0.8333443,-0.7192441,0.6944942,-0.01912184,0,0,0,0,0.5,0.225496,0,0,0,0.8993584,-0.6853141,0.6617318,0.304065,0,0,1
1,0,0,-0.225496,0,0,0,0.5205171,-0.908363,0.4174354,-0.0249834,1,0.5,0,0,-0.5,0.225496,0,0,0,0.522669,-0.9064517,-0.07235968,0.4160642,1,1,1,0,-0.5,-0.225496,0,0,0,0.4302984,-0.9964545,-0.07954437,-0.02740625,1,1,0,0,0,0.225496,0,0,0,0.6053741,-0.8386301,0.3853899,0.3849339,1,0.5,1,0,0.5,-0.225496,0,0,0,0.8105171,-0.7073544,0.7065913,-0.01945491,0,0,0,0,0.5,0.225496,0,0,0,0.8776255,-0.672897,0.6721711,0.3088619,0,0,1
2,0,0.0001291806,-0.2254619,0,0.001291806,0.0003412366,0.3968674,-0.8794571,0.4751306,-0.02838978,1,0.5,0,0,-0.5000197,0.2255708,0,-0.0001966953,0.0007480383,0.399292,-0.877086,-0.08230883,0.4732287,1,1,1,0,-0.499965,-0.2254625,0,0.0003501773,0.0003354251,0.2926259,-0.9951181,-0.09331638,-0.03212417,1,1,0,0,6.125728E-05,0.2255638,0,0.0006125728,0.0006777048,0.4923555,-0.7948325,0.4293434,0.428842,1,0.5,1,0,0.5,-0.225496,0,0,0,0.7166605,-0.6482962,0.7610998,-0.02095572,0,0,0,0,0.5,0.225496,0,0,0,0.7886658,-0.6120722,0.7185727,0.3301834,0,0,1
3,0,3.87327E-05,-0.2255027,0,-0.0009044785,-0.0004081428,0.3249425,-0.8557612,0.5164466,-0.0309145,1,0.5,0,0,-0.5000437,0.2254063,0,-0.0002408028,-0.001645237,0.3275407,-0.8530743,-0.08947445,0.5140609,1,1,1,0,-0.5000003,-0.2256047,0,-0.0003531575,-0.001422316,0.2102833,-0.9939045,-0.1041842,-0.03604855,1,1,0,0,4.284691E-05,0.2254167,0,-0.0001841036,-0.001470894,0.4278268,-0.760868,0.4591836,0.4585087,1,0.5,1,0,0.5,-0.225496,0,0,0,0.6646874,-0.6061315,0.7950631,-0.02189085,0,0,0,0,0.5,0.225496,0,0,0,0.7397151,-0.5694484,0.7469458,0.3432208,0,0,1
4,0,1.678952E-05,-0.2255101,0,-0.0002194318,-7.376075E-05,0.2588143,-0.8268449,0.5614243,-0.03361832,1,0.5,0,0,-0.4999333,0.2255587,0,0.001104176,0.001523793,0.2617246,-0.8236858,-0.09706045,0.5586779,1,1,1,0,-0.4999763,-0.2253493,0,0.0002396107,0.002553612,0.1322761,-0.9923224,-0.1170001,-0.04009217,1,1,0,0,8.775193E-05,0.2254471,0,0.0004490502,0.0003038347,0.3696057,-0.7215015,0.4899781,0.4892414,1,0.5,1,0,0.5,-0.225496,0,0,0,0.6188315,-0.560783,0.8276492,-0.02278805,0,0,0,0,0.5,0.225496,0,0,0,0.6967376,-0.5242767,0.7737703,0.3555466,0,0,1
5,0,3.507205E-05,-0.2254521,0,0.0001828253,0.0005801022,0.1942075,-0.7886876,0.6136999,-0.03666346,1,0.5,0,0,-0.5000311,0.2256761,0,-0.0009772182,0.001174808,0.1974605,-0.7850092,-0.1061437,0.610323,1,1,1,0,-0.5000264,-0.2252982,0,-0.000500679,0.0005117059,0.05307347,-0.9899461,-0.1338455,-0.04574103,1,1,0,0,7.224153E-05,0.2255121,0,-0.0001551041,0.0006508827,0.3138602,-0.6727358,0.5235202,0.522832,1,0.5,1,0,0.5,-0.225496,0,0,0,0.576056,-0.5088145,0.86055,-0.02369393,0,0,0,0,0.5,0.225496,0,0,0,0.6568463,-0.4732806,0.8004521,0.3678069,0,0,1
6,0,6.516797E-05,-0.2254888,0,0.0003009592,-0.0003677607,0.1327861,-0.7382566,0.6733163,-0.04028032,1,0.5,0,0,-0.4998966,0.2254091,0,0.001344681,-0.002670437,0.1361373,-0.7343674,-0.1161645,0.6687378,1,1,1,0,-0.4999777,-0.2256088,0,0.0004866719,-0.003106743,-0.02632755,-0.986248,-0.1561791,-0.05406441,1,1,0,0,2.652725E-05,0.2254957,0,-0.0004571428,-0.0001645088,0.2620907,-0.6129959,0.5590234,0.5583268,1,0.5,1,0,0.5,-0.225496,0,0,0,0.5374792,-0.4502823,0.892548,-0.02457494,0,0,0,0,0.5,0.225496,0,0,0,0.621053,-0.416714,0.8260092,0.3795503,0,0,1
7,0,4.622321E-05,-0.2255093,0,-0.0001894477,-0.000204742,0.07361317,-0.6681,0.7427413,-0.04447126,1,0.5,0,0,-0.4999652,0.2256351,0,-0.0006863475,0.002260059,0.07749635,-0.6636076,-0.1280791,0.7370352,1,1,1,0,-0.5000138,-0.2253632,0,-0.0003609061,0.002456456,-0.1088641,-0.9797898,-0.1892279,-0.06484492,1,1,0,0,7.997047E-05,0.2255312,0,0.0005344322,0.0003552437,0.2137835,-0.5369008,0.5969316,0.5961629,1,0.5,1,0,0.5,-0.225496,0,0,0,0.5024929,-0.382278,0.9236973,-0.02543259,0,0,0,0,0.5,0.225496,0,0,0,0.5887556,-0.3519899,0.8505123,0.3908094,0,0,1
8,0,4.696816E-05,-0.2254469,0,7.449562E-06,0.0006245077,0.02437842,-0.5809659,0.81248,-0.04852764,1,0.5,0,0,-0.5000024,0.2256243,0,-0.000372231,-0.0001078844,0.02862233,-0.5763018,-0.1399911,0.8051577,1,1,1,0,-0.500048,-0.2253507,0,-0.0003415346,0.0001250207,-0.1854607,-0.9685468,-0.2354173,-0.08059622,1,1,0,0,1.81159E-05,0.2255927,0,-0.0006185457,0.0006143749,0.1748554,-0.4514241,0.6312732,0.6306428,1,0.5,1,0,0.5,-0.225496,0,0,0,0.475159,-0.3124065,0.9495887,-0.02614547,0,0,0,0,0.5,0.225496,0,0,0,0.563641,-0.2864181,0.8705946,0.4000372,0,0,1
9,0,4.427188E-05,-0.2255416,0,-2.696281E-05,-0.0009475648,-0.01595396,-0.4717108,0.8801731,-0.05276689,1,0.5,0,0,-0.4999169,0.2254498,0,0.0008556247,-0.001744777,-0.01152712,-0.4674359,-0.1513224,0.8709795,1,1,1,0,-0.5000144,-0.2254994,0,0.0003355742,-0.001487285,-0.2586231,-0.9459468,-0.3066342,-0.1056414,1,1,0,0,4.043485E-05,0.2254938,0,0.0002231895,-0.000988394,0.1439642,-0.354569,0.6615902,0.6607414,1,0.5,1,0,0.5,-0.225496,0,0,0,0.4540758,-0.2393204,0.9705728,-0.02672324,0,0,0,0,0.5,0.225496,0,0,0,0.5443454,-0.2186343,0.8866798,0.4074284,0,0,1
