frame,x0,y0,z0,sdf0,x1,y1,z1,sdf1,x2,y2,z2,sdf2,x3,y3,z3,sdf3,x4,y4,z4,sdf4,x5,y5,z5,sdf5,x6,y6,z6,sdf6,x7,y7,z7,sdf7,x8,y8,z8,sdf8,x9,y9,z9,sdf9,x10,y10,z10,sdf10,x11,y11,z11,sdf11,x12,y12,z12,sdf12,x13,y13,z13,sdf13,x14,y14,z14,sdf14,x15,y15,z15,sdf15,x16,y16,z16,sdf16,x17,y17,z17,sdf17,x18,y18,z18,sdf18,x19,y19,z19,sdf19,x20,y20,z20,sdf20,x21,y21,z21,sdf21,x22,y22,z22,sdf22,x23,y23,z23,sdf23,x24,y24,z24,sdf24
0,0.1400038,-48.66119,24.86376,55.06719,0.1400076,-23.65964,49.86349,55.14384,0.1400076,-48.6629,49.86404,69.89956,0.1400038,-23.66516,24.86606,34.54944,0.14,-48.66534,-0.1364534,49.19846,0.1400076,1.337343,49.86285,49.36672,0.14,-23.65996,-0.1424505,24.19628,0.1399962,-48.66531,-25.13289,55.19181,0.1400038,1.337687,24.86466,24.37242,0.1400076,26.32943,49.85968,55.41369,0.1399962,-23.665,-25.14754,34.74959,0.1399924,-48.66837,-50.14079,70.0997,0.1399924,-23.6704,-50.14057,55.39703,0.1400038,26.32513,24.85637,34.96793,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.328881,-0.1411851,0.1331373,0.1399962,1.3348,-25.1308,24.63845,0.1399924,1.332715,-50.13178,49.6356,0.14,26.33473,-0.1343071,24.81085,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32763,-25.13972,35.16885,0.1399924,26.32709,-50.13935,55.66216,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
1,0.1400038,-48.66382,24.86271,55.06907,0.1400076,-23.66776,49.86445,55.14831,0.1400076,-48.66415,49.85957,69.89727,0.1400038,-23.67138,24.86047,34.54986,0.14,-48.67357,-0.1359957,49.20669,0.1400076,1.334559,49.8661,49.36995,0.14,-23.67081,-0.1368009,24.20709,0.1399962,-48.66891,-25.1373,55.19701,0.1400038,1.332814,24.86618,24.37389,0.1400076,26.33594,49.8586,55.41567,0.1399962,-23.6703,-25.1422,34.74949,0.1399924,-48.67136,-50.13161,70.09528,0.1399924,-23.66534,-50.13895,55.39334,0.1400038,26.32701,24.85789,34.97034,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.324618,-0.1380153,0.1304346,0.1399962,1.334568,-25.13799,24.64563,0.1399924,1.329259,-50.13827,49.64207,0.14,26.32728,-0.1421639,24.80345,0.14,51.33,-0.1385164,49.80309,0.1399962,26.33595,-25.13749,35.17318,0.1399924,26.32912,-50.14178,55.66526,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
2,0.1400038,-48.67207,24.86396,55.077,0.1400076,-23.66952,49.8731,55.15685,0.1400076,-48.6804,49.86636,69.91356,0.1400038,-23.67268,24.86719,34.55555,0.14,-48.66583,-0.1338559,49.19894,0.1400076,1.325017,49.86919,49.37299,0.14,-23.66108,-0.1334598,24.19735,0.1399962,-48.67016,-25.1374,55.19817,0.1400038,1.333356,24.86346,24.37117,0.1400076,26.32531,49.8619,55.4138,0.1399962,-23.66184,-25.129,34.73415,0.1399924,-48.66972,-50.1368,70.09782,0.1399924,-23.66404,-50.13999,55.3937,0.1400038,26.33256,24.8565,34.97332,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.328802,-0.1318357,0.1310809,0.1399962,1.336028,-25.13429,24.64195,0.1399924,1.332778,-50.13451,49.63834,0.14,26.33288,-0.1318009,24.80899,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32601,-25.13317,35.16309,0.1399924,26.32505,-50.13614,55.65838,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
3,0.1400038,-48.66555,24.87239,55.07495,0.1400076,-23.66453,49.86357,55.14608,0.1400076,-48.65638,49.87174,69.90041,0.1400038,-23.66624,24.86616,34.55027,0.14,-48.66973,-0.1318132,49.20284,0.1400076,1.335914,49.86339,49.36725,0.14,-23.66679,-0.1355743,24.20307,0.1399962,-48.66074,-25.13357,55.18804,0.1400038,1.339633,24.86496,24.37275,0.1400076,26.32816,49.86277,55.41586,0.1399962,-23.66333,-25.13238,34.7376,0.1399924,-48.66871,-50.13462,70.09556,0.1399924,-23.66611,-50.13562,55.39069,0.1400038,26.32716,24.86238,34.97359,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.329047,-0.1401755,0.1329918,0.1399962,1.333045,-25.13597,24.64359,0.1399924,1.336179,-50.13356,49.6374,0.14,26.33067,-0.140479,24.80682,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32459,-25.13443,35.16297,0.1399924,26.32859,-50.14035,55.66374,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
4,0.1400038,-48.66825,24.85458,55.06939,0.1400076,-23.673,49.86153,55.14801,0.1400076,-48.67153,49.85907,69.90214,0.1400038,-23.66653,24.86019,34.54625,0.14,-48.66713,-0.142288,49.20026,0.1400076,1.331053,49.85068,49.35451,0.14,-23.66271,-0.144539,24.19904,0.1399962,-48.67099,-25.13997,55.20008,0.1400038,1.336287,24.85635,24.3641,0.1400076,26.32674,49.85632,55.40948,0.1399962,-23.67533,-25.14408,34.75436,0.1399924,-48.66787,-50.14859,70.10489,0.1399924,-23.67033,-50.1448,55.40079,0.1400038,26.32506,24.85123,34.96428,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.332178,-0.1436927,0.135263,0.1399962,1.328484,-25.13943,24.64701,0.1399924,1.332595,-50.14522,49.64904,0.14,26.33551,-0.1360733,24.81164,0.14,51.33,-0.1385164,49.80309,0.1399962,26.33144,-25.13885,35.17094,0.1399924,26.32451,-50.1406,55.66212,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
5,0.1400038,-48.67268,24.85457,55.07335,0.1400076,-23.66993,49.86347,55.1484,0.1400076,-48.66909,49.85952,69.90073,0.1400038,-23.66632,24.8593,34.54547,0.14,-48.66893,-0.1426028,49.20207,0.1400076,1.334457,49.85234,49.3562,0.14,-23.66862,-0.144665,24.20495,0.1399962,-48.67495,-25.13791,55.20267,0.1400038,1.329739,24.85925,24.36693,0.1400076,26.32756,49.85631,55.40984,0.1399962,-23.66814,-25.14083,34.747,0.1399924,-48.67221,-50.14466,70.10516,0.1399924,-23.67112,-50.14776,55.4038,0.1400038,26.324,24.85112,34.96345,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.32806,-0.1421873,0.1329747,0.1399962,1.328788,-25.1463,24.65388,0.1399924,1.329576,-50.14189,49.64569,0.14,26.32963,-0.1400507,24.80578,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32732,-25.13501,35.16531,0.1399924,26.32422,-50.13872,55.66031,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
6,0.1400038,-48.66368,24.8633,55.06921,0.1400076,-23.66518,49.86297,55.14584,0.1400076,-48.66776,49.86609,69.90444,0.1400038,-23.66821,24.86615,34.55165,0.14,-48.65921,-0.1263348,49.19231,0.1400076,1.340586,49.87067,49.37456,0.14,-23.6568,-0.1320533,24.19306,0.1399962,-48.67632,-25.12829,55.19956,0.1400038,1.336013,24.86553,24.37328,0.1400076,26.32607,49.86309,55.41521,0.1399962,-23.67383,-25.13392,34.74606,0.1399924,-48.68124,-50.12774,70.09949,0.1399924,-23.67322,-50.12661,55.38575,0.1400038,26.32464,24.86539,34.9739,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.334243,-0.1389503,0.1351937,0.1399962,1.326401,-25.13732,24.64487,0.1399924,1.32363,-50.14112,49.64489,0.14,26.33741,-0.1454444,24.81359,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32815,-25.13963,35.16916,0.1399924,26.33051,-50.14519,55.66891,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
7,0.1400038,-48.65465,24.86215,55.06062,0.1400076,-23.66352,49.87304,55.15413,0.1400076,-48.67007,49.86238,69.90345,0.1400038,-23.66335,24.86701,34.54884,0.14,-48.65864,-0.1292936,49.19174,0.1400076,1.33349,49.87338,49.37722,0.14,-23.65712,-0.1311608,24.19338,0.1399962,-48.66117,-25.13251,55.18794,0.1400038,1.338582,24.86911,24.37689,0.1400076,26.32545,49.85931,55.41156,0.1399962,-23.66313,-25.12729,34.73383,0.1399924,-48.66431,-50.13125,70.09007,0.1399924,-23.66743,-50.13612,55.39173,0.1400038,26.32878,24.85584,34.97017,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.338605,-0.1251721,0.1344332,0.1399962,1.338094,-25.13436,24.64205,0.1399924,1.336054,-50.13539,49.63923,0.14,26.3426,-0.1433973,24.81876,0.14,51.33,-0.1385164,49.80309,0.1399962,26.33605,-25.13967,35.17479,0.1399924,26.33448,-50.14815,55.67335,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
8,0.1400038,-48.66888,24.86644,55.07526,0.1400076,-23.66867,49.87076,55.15437,0.1400076,-48.67738,49.86106,69.90768,0.1400038,-23.6715,24.86725,34.55476,0.14,-48.66552,-0.1357399,49.19864,0.1400076,1.332967,49.86578,49.36962,0.14,-23.66426,-0.133021,24.20052,0.1399962,-48.67079,-25.13402,55.19721,0.1400038,1.332539,24.86175,24.36946,0.1400076,26.32998,49.85695,55.4115,0.1399962,-23.66968,-25.13573,34.74444,0.1399924,-48.67394,-50.14185,70.10438,0.1399924,-23.67113,-50.13744,55.39455,0.1400038,26.33255,24.8545,34.97192,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.331105,-0.1340045,0.1326308,0.1399962,1.330925,-25.13446,24.64206,0.1399924,1.333558,-50.13175,49.63557,0.14,26.32625,-0.1370821,24.80239,0.14,51.33,-0.1385164,49.80309,0.1399962,26.33538,-25.14285,35.17656,0.1399924,26.32593,-50.13894,55.66127,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
9,0.1400038,-48.66867,24.86505,55.07446,0.1400076,-23.66656,49.86475,55.14804,0.1400076,-48.67756,49.86875,69.91325,0.1400038,-23.67152,24.86627,34.55408,0.14,-48.66388,-0.1281494,49.19697,0.1400076,1.327648,49.87177,49.37558,0.14,-23.66954,-0.1283074,24.20578,0.1399962,-48.66567,-25.13265,55.19202,0.1400038,1.333382,24.86618,24.37389,0.1400076,26.32983,49.86259,55.41647,0.1399962,-23.66561,-25.13389,34.74028,0.1399924,-48.67714,-50.12769,70.09657,0.1399924,-23.67141,-50.13398,55.39157,0.1400038,26.32521,24.86244,34.97224,0.1400076,51.33,49.8615,70.32762,0.1400038,51.33,24.86149,55.61128,0.14,1.32846,-0.1328759,0.1311375,0.1399962,1.335173,-25.1271,24.63475,0.1399924,1.327235,-50.13146,49.63525,0.14,26.33093,-0.1388121,24.80707,0.14,51.33,-0.1385164,49.80309,0.1399962,26.32731,-25.14109,35.16959,0.1399924,26.33509,-50.13832,55.66484,0.1399962,51.33,-25.13853,55.73457,0.1399924,51.33,-50.13853,70.52292
